iter	Logloss
0	0.5462576585
1	0.4795963059
2	0.4516354522
3	0.4333503196
4	0.4102096643
5	0.3861394596
6	0.359060761
7	0.3468902169
8	0.3339964998
9	0.3126514401
10	0.3124420657
11	0.2946690121
12	0.2857078248
13	0.2809330809
14	0.2733773147
15	0.268958315
16	0.2587291891
17	0.2418308957
18	0.2334534108
19	0.2284218233
20	0.2280739544
21	0.224653893
22	0.2191738272
23	0.2118940238
24	0.2078796212
25	0.2038555768
26	0.1982707545
27	0.1936831492
28	0.1894033229
29	0.1851458194
30	0.1822092718
31	0.1763531664
32	0.1669071102
33	0.1639067316
34	0.1599154371
35	0.1522369413
36	0.1489281727
37	0.1390545969
38	0.1368312777
39	0.1330763288
40	0.1296787912
41	0.1254184314
42	0.1219676877
43	0.1198561708
44	0.1188699998
45	0.1145433966
46	0.1093513232
47	0.1043474575
48	0.1022032506
49	0.09841201247
50	0.09456506186
51	0.09171037789
52	0.08891108758
53	0.08721083704
54	0.08480897016
55	0.0819570421
56	0.07940319255
57	0.07720314366
58	0.07569423821
59	0.07395428014
60	0.07166065834
61	0.07060059335
62	0.06906960999
63	0.06660237385
64	0.06350539594
65	0.06138634968
66	0.05934011839
67	0.05787401371
68	0.05463472867
69	0.05218301736
70	0.05061761435
71	0.04949851508
72	0.04801705261
73	0.04596250751
74	0.04439777618
75	0.04353845105
76	0.04275698244
77	0.04133770165
78	0.04006235248
79	0.03916809259
80	0.03783533056
81	0.03621396497
82	0.03486323384
83	0.03386340219
84	0.03292051492
85	0.03109276588
86	0.03060881113
87	0.03012973851
88	0.02877570603
89	0.02806661696
90	0.02715047724
91	0.02607111072
92	0.02565029955
93	0.02497406219
94	0.02405264459
95	0.02347673036
96	0.02236783066
97	0.02193041228
98	0.02089984994
99	0.02028756269
100	0.01991496155
101	0.01965381032
102	0.01911801357
103	0.01853192017
104	0.01771274531
105	0.01697486214
106	0.01610654955
107	0.01567925997
108	0.01516521364
109	0.01476868416
110	0.01435882182
111	0.013856455
112	0.01331611728
113	0.01294292444
114	0.01244259742
115	0.01191462937
116	0.01143913862
117	0.01092663697
118	0.01080264148
119	0.01049358332
120	0.01024807667
121	0.01003835649
122	0.0097876182
123	0.009366547684
124	0.009088724776
125	0.008944276678
126	0.008647550404
127	0.00842290283
128	0.008253947769
129	0.008081393575
130	0.008000790938
131	0.007792196645
132	0.007546811983
133	0.007432411793
134	0.007258250847
135	0.007206166328
136	0.007121366598
137	0.006938493095
138	0.006794144952
139	0.006565543782
140	0.006489307084
141	0.006366000296
142	0.006323523331
143	0.006243180139
144	0.006103151516
145	0.006044875309
146	0.005890574424
147	0.005833949903
148	0.00573977306
149	0.005621157074
150	0.005506000473
151	0.005407252016
152	0.005316154083
153	0.005207937684
154	0.005073104443
155	0.004997705992
156	0.004949625523
157	0.004856661259
158	0.004797955528
159	0.004716476345
160	0.004639306968
161	0.004534109288
162	0.004495134772
163	0.004407277603
164	0.004308778406
165	0.004258534472
166	0.004235892425
167	0.004173856341
168	0.004133036796
169	0.004081335913
170	0.004023336094
171	0.003996115895
172	0.003904377664
173	0.003849709285
174	0.003801632833
175	0.003765030004
176	0.003720271285
177	0.003642348827
178	0.003591609531
179	0.003591609531
180	0.003553703554
181	0.003528247856
182	0.003499827474
183	0.003499827474
184	0.003499776169
185	0.003459241546
186	0.003424948431
187	0.003424901734
188	0.003424901734
189	0.00342490255
190	0.00342490255
191	0.003387209546
192	0.003387209546
193	0.003387209546
194	0.003387209546
195	0.003369613338
196	0.003340878071
197	0.003340878071
198	0.003318397608
199	0.003284717815
200	0.003284717815
201	0.003284770042
202	0.003284770042
203	0.003284689646
204	0.003284687495
205	0.003284687495
206	0.003284687495
207	0.003284687495
208	0.003284687495
209	0.003284687495
210	0.003284687495
211	0.003284687495
212	0.003284687495
213	0.003284687495
214	0.003284687495
215	0.003284687495
216	0.003284687495
217	0.003284687495
218	0.003284687495
219	0.003284687495
220	0.003284687495
221	0.003284687495
222	0.003284687495
223	0.003284687495
224	0.003284687495
225	0.003284687495
226	0.003284687495
227	0.003284687495
228	0.003284687495
229	0.003284687495
230	0.003284687495
231	0.003284687495
232	0.003284687495
233	0.003284687495
234	0.003284687495
235	0.003284687495
236	0.003284687495
237	0.003284661583
238	0.003284661583
239	0.00328458713
240	0.003284574546
241	0.003284574546
242	0.003284618064
243	0.003284536239
244	0.003284536239
245	0.003284528865
246	0.003284528865
247	0.003284528865
248	0.003284498758
249	0.003284498758
250	0.003284498758
251	0.003284498758
252	0.003284498758
253	0.003284464551
254	0.003284464551
255	0.003284464551
256	0.003284464551
257	0.003284464551
258	0.003284377408
259	0.003284357734
260	0.003284357734
261	0.003284357734
262	0.003284357734
263	0.003284359589
264	0.003284359589
265	0.003284359589
266	0.003284329577
267	0.00328433142
268	0.00328433142
269	0.00328433142
270	0.003284355182
271	0.003284355182
272	0.003284355182
273	0.003284355182
274	0.003284355182
275	0.003284355182
276	0.003284355182
277	0.003284355182
278	0.003284355182
279	0.003284270083
280	0.003284205969
281	0.003284240378
282	0.003284196753
283	0.003284151179
284	0.003284141454
285	0.003284123529
286	0.003284103147
287	0.003284081842
288	0.003284049585
289	0.003283978925
290	0.003283978925
291	0.003283997677
292	0.003283987834
293	0.003283946667
294	0.003283965715
295	0.003283965715
296	0.00328393315
297	0.00328393315
298	0.00328393315
299	0.00328393315
